Loading module for Anaconda
Anaconda 2019.10 is now loaded
SUN
Random Seed:  4115
# of training samples:  10320
Encoder(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=204)
  (lrelu): LeakyReLU(0.2, inplace)
  (linear_means): Linear(in_features=204, out_features=102)
  (linear_log_var): Linear(in_features=204, out_features=102)
)
Generator(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (sigmoid): Sigmoid()
)
Discriminator_D1(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
Feedback(
  (fc1): Linear(in_features=4096, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=4096)
  (lrelu): LeakyReLU(0.2, inplace)
)
AttDec(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc3): Linear(in_features=4096, out_features=102)
  (lrelu): LeakyReLU(0.2, inplace)
)
[0/400]  Loss_D: -2.8059 Loss_G: -0.7142, Wasserstein_dist:3.8300, vae_loss_seen:385.8005 GZSL: seen=0.3155, unseen=0.2729, h=0.2927 ZSL: unseen accuracy=0.4257
[1/400]  Loss_D: -2.9178 Loss_G: -0.9505, Wasserstein_dist:3.8095, vae_loss_seen:374.3630 GZSL: seen=0.3434, unseen=0.3410, h=0.3422 ZSL: unseen accuracy=0.5160
[2/400]  Loss_D: -2.9301 Loss_G: -0.5509, Wasserstein_dist:3.7759, vae_loss_seen:357.7658 GZSL: seen=0.3643, unseen=0.3556, h=0.3599 ZSL: unseen accuracy=0.5479
[3/400]  Loss_D: -2.8000 Loss_G: -0.6385, Wasserstein_dist:3.6719, vae_loss_seen:365.8725 GZSL: seen=0.3578, unseen=0.3757, h=0.3665 ZSL: unseen accuracy=0.5743
[4/400]  Loss_D: -2.8705 Loss_G: -0.9350, Wasserstein_dist:3.7514, vae_loss_seen:378.0556 GZSL: seen=0.3558, unseen=0.3917, h=0.3729 ZSL: unseen accuracy=0.5785
[5/400]  Loss_D: -2.6014 Loss_G: -0.9667, Wasserstein_dist:3.5403, vae_loss_seen:356.8553 GZSL: seen=0.3798, unseen=0.3743, h=0.3771 ZSL: unseen accuracy=0.6014
[6/400]  Loss_D: -2.7522 Loss_G: -0.9070, Wasserstein_dist:3.6033, vae_loss_seen:368.0974 GZSL: seen=0.3566, unseen=0.4076, h=0.3804 ZSL: unseen accuracy=0.5986
[7/400]  Loss_D: -2.7134 Loss_G: -1.1347, Wasserstein_dist:3.5986, vae_loss_seen:361.5559 GZSL: seen=0.3620, unseen=0.4181, h=0.3880 ZSL: unseen accuracy=0.6153
[8/400]  Loss_D: -2.6633 Loss_G: -0.9076, Wasserstein_dist:3.4689, vae_loss_seen:365.2424 GZSL: seen=0.3651, unseen=0.4146, h=0.3883 ZSL: unseen accuracy=0.6181
[9/400]  Loss_D: -2.7210 Loss_G: -1.1046, Wasserstein_dist:3.5677, vae_loss_seen:360.5183 GZSL: seen=0.3853, unseen=0.4035, h=0.3942 ZSL: unseen accuracy=0.6160
[10/400]  Loss_D: -2.5392 Loss_G: -1.2125, Wasserstein_dist:3.4353, vae_loss_seen:365.7443 GZSL: seen=0.3574, unseen=0.4285, h=0.3897 ZSL: unseen accuracy=0.6167
[11/400]  Loss_D: -2.6619 Loss_G: -1.2525, Wasserstein_dist:3.5445, vae_loss_seen:371.6933 GZSL: seen=0.3787, unseen=0.4208, h=0.3986 ZSL: unseen accuracy=0.6153
[12/400]  Loss_D: -2.7093 Loss_G: -1.2847, Wasserstein_dist:3.5803, vae_loss_seen:380.4613 GZSL: seen=0.3822, unseen=0.4139, h=0.3974 ZSL: unseen accuracy=0.6299
[13/400]  Loss_D: -2.6174 Loss_G: -1.4701, Wasserstein_dist:3.5197, vae_loss_seen:374.1522 GZSL: seen=0.3663, unseen=0.4250, h=0.3935 ZSL: unseen accuracy=0.6340
[14/400]  Loss_D: -2.5410 Loss_G: -1.3325, Wasserstein_dist:3.3778, vae_loss_seen:371.5475 GZSL: seen=0.3535, unseen=0.4562, h=0.3983 ZSL: unseen accuracy=0.6257
[15/400]  Loss_D: -2.4157 Loss_G: -1.2068, Wasserstein_dist:3.1359, vae_loss_seen:366.1144 GZSL: seen=0.3593, unseen=0.4424, h=0.3965 ZSL: unseen accuracy=0.6257
[16/400]  Loss_D: -2.0547 Loss_G: -1.1586, Wasserstein_dist:2.7763, vae_loss_seen:334.8161 GZSL: seen=0.3655, unseen=0.4444, h=0.4011 ZSL: unseen accuracy=0.6354
[17/400]  Loss_D: -2.3343 Loss_G: -1.4604, Wasserstein_dist:3.1716, vae_loss_seen:364.2428 GZSL: seen=0.3651, unseen=0.4563, h=0.4056 ZSL: unseen accuracy=0.6382
[18/400]  Loss_D: -2.3425 Loss_G: -1.0185, Wasserstein_dist:3.0830, vae_loss_seen:373.5959 GZSL: seen=0.3717, unseen=0.4528, h=0.4083 ZSL: unseen accuracy=0.6403
[19/400]  Loss_D: -2.4276 Loss_G: -1.6477, Wasserstein_dist:3.3549, vae_loss_seen:353.7383 GZSL: seen=0.3647, unseen=0.4569, h=0.4057 ZSL: unseen accuracy=0.6417
[20/400]  Loss_D: -2.4188 Loss_G: -1.4216, Wasserstein_dist:3.2911, vae_loss_seen:369.0736 GZSL: seen=0.3419, unseen=0.4826, h=0.4002 ZSL: unseen accuracy=0.6472
[21/400]  Loss_D: -2.4780 Loss_G: -1.7746, Wasserstein_dist:3.3640, vae_loss_seen:362.7674 GZSL: seen=0.3860, unseen=0.4333, h=0.4083 ZSL: unseen accuracy=0.6382
[22/400]  Loss_D: -2.2209 Loss_G: -1.4964, Wasserstein_dist:3.0301, vae_loss_seen:347.8357 GZSL: seen=0.3667, unseen=0.4549, h=0.4060 ZSL: unseen accuracy=0.6382
[23/400]  Loss_D: -2.1353 Loss_G: -1.3029, Wasserstein_dist:2.8192, vae_loss_seen:343.8602 GZSL: seen=0.3760, unseen=0.4479, h=0.4088 ZSL: unseen accuracy=0.6361
[24/400]  Loss_D: -2.1609 Loss_G: -1.5995, Wasserstein_dist:2.9292, vae_loss_seen:357.6954 GZSL: seen=0.3771, unseen=0.4396, h=0.4060 ZSL: unseen accuracy=0.6396
[25/400]  Loss_D: -2.1882 Loss_G: -1.9483, Wasserstein_dist:3.0035, vae_loss_seen:341.3737 GZSL: seen=0.3733, unseen=0.4514, h=0.4086 ZSL: unseen accuracy=0.6319
[26/400]  Loss_D: -2.2164 Loss_G: -1.6619, Wasserstein_dist:2.9712, vae_loss_seen:361.5177 GZSL: seen=0.3484, unseen=0.4764, h=0.4025 ZSL: unseen accuracy=0.6507
[27/400]  Loss_D: -2.0891 Loss_G: -1.6064, Wasserstein_dist:2.7842, vae_loss_seen:362.1507 GZSL: seen=0.3744, unseen=0.4556, h=0.4110 ZSL: unseen accuracy=0.6493
[28/400]  Loss_D: -2.1965 Loss_G: -1.8557, Wasserstein_dist:3.0164, vae_loss_seen:374.8107 GZSL: seen=0.3760, unseen=0.4507, h=0.4100 ZSL: unseen accuracy=0.6451
[29/400]  Loss_D: -1.9507 Loss_G: -1.3417, Wasserstein_dist:2.5791, vae_loss_seen:347.4334 GZSL: seen=0.3771, unseen=0.4438, h=0.4077 ZSL: unseen accuracy=0.6479
[30/400]  Loss_D: -2.1022 Loss_G: -1.8560, Wasserstein_dist:2.8283, vae_loss_seen:361.7697 GZSL: seen=0.3810, unseen=0.4264, h=0.4024 ZSL: unseen accuracy=0.6431
[31/400]  Loss_D: -2.0869 Loss_G: -1.8380, Wasserstein_dist:2.7882, vae_loss_seen:373.3497 GZSL: seen=0.3822, unseen=0.4431, h=0.4104 ZSL: unseen accuracy=0.6361
[32/400]  Loss_D: -2.2051 Loss_G: -1.8836, Wasserstein_dist:3.0169, vae_loss_seen:351.3015 GZSL: seen=0.3938, unseen=0.4236, h=0.4082 ZSL: unseen accuracy=0.6424
[33/400]  Loss_D: -1.9833 Loss_G: -1.5383, Wasserstein_dist:2.6952, vae_loss_seen:348.3672 GZSL: seen=0.3787, unseen=0.4410, h=0.4075 ZSL: unseen accuracy=0.6465
[34/400]  Loss_D: -2.1203 Loss_G: -1.8338, Wasserstein_dist:2.9072, vae_loss_seen:354.3449 GZSL: seen=0.3829, unseen=0.4500, h=0.4138 ZSL: unseen accuracy=0.6507
[35/400]  Loss_D: -2.1498 Loss_G: -1.9161, Wasserstein_dist:2.9227, vae_loss_seen:362.2088 GZSL: seen=0.3570, unseen=0.4715, h=0.4063 ZSL: unseen accuracy=0.6431
[36/400]  Loss_D: -1.8396 Loss_G: -1.9095, Wasserstein_dist:2.5402, vae_loss_seen:354.2407 GZSL: seen=0.3632, unseen=0.4764, h=0.4122 ZSL: unseen accuracy=0.6479
[37/400]  Loss_D: -1.7973 Loss_G: -1.9895, Wasserstein_dist:2.5168, vae_loss_seen:344.7360 GZSL: seen=0.3547, unseen=0.4750, h=0.4061 ZSL: unseen accuracy=0.6472
[38/400]  Loss_D: -1.8573 Loss_G: -1.6675, Wasserstein_dist:2.4799, vae_loss_seen:342.3549 GZSL: seen=0.3853, unseen=0.4437, h=0.4124 ZSL: unseen accuracy=0.6549
[39/400]  Loss_D: -1.9686 Loss_G: -1.8274, Wasserstein_dist:2.6700, vae_loss_seen:358.5125 GZSL: seen=0.3597, unseen=0.4938, h=0.4162 ZSL: unseen accuracy=0.6535
[40/400]  Loss_D: -1.7876 Loss_G: -1.6575, Wasserstein_dist:2.3728, vae_loss_seen:349.7652 GZSL: seen=0.3678, unseen=0.4806, h=0.4167 ZSL: unseen accuracy=0.6542
[41/400]  Loss_D: -1.9179 Loss_G: -1.6436, Wasserstein_dist:2.5660, vae_loss_seen:365.0030 GZSL: seen=0.3651, unseen=0.4660, h=0.4094 ZSL: unseen accuracy=0.6458
[42/400]  Loss_D: -1.9642 Loss_G: -1.8515, Wasserstein_dist:2.6760, vae_loss_seen:367.2783 GZSL: seen=0.3632, unseen=0.4868, h=0.4160 ZSL: unseen accuracy=0.6382
[43/400]  Loss_D: -2.0778 Loss_G: -2.3032, Wasserstein_dist:2.8512, vae_loss_seen:370.4078 GZSL: seen=0.3589, unseen=0.4785, h=0.4102 ZSL: unseen accuracy=0.6521
[44/400]  Loss_D: -1.9090 Loss_G: -1.9301, Wasserstein_dist:2.6486, vae_loss_seen:340.7877 GZSL: seen=0.3667, unseen=0.4667, h=0.4107 ZSL: unseen accuracy=0.6507
